player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
44a0d9a9,Sofian Chafik,https://fbref.com/en/players/44a0d9a9/Sofian-Chafik,CH,2024-2025,34,Saint-Colomban Locminé,FRA,Coupe de France,Rd8,1,1,90,1.0,2,2.00,,,,1,0,0,0,0.0,0,0,0,0,,Matches
44a0d9a9,Sofian Chafik,https://fbref.com/en/players/44a0d9a9/Sofian-Chafik,CH,1 Season,1 Club,,1 League,,1,1,90,1.0,2,2.00,,,,1,0,0,0,0.0,0,0,0,0,,,
ddd3de5b,Mehdi Chakri,https://fbref.com/en/players/ddd3de5b/Mehdi-Chakri,CH,2025-2026,22,FC Saint-Cyr Collonges au Mont d'Or,FRA,Coupe de France,R64,1,1,90,1.0,3,3.00,10,7,70.0,0,0,1,0,0.0,0,0,0,0,,Matches
ddd3de5b,Mehdi Chakri,https://fbref.com/en/players/ddd3de5b/Mehdi-Chakri,CH,1 Season,1 Club,,1 League,,1,1,90,1.0,3,3.00,10,7,70.0,0,0,1,0,0.0,0,0,0,0,,,
59525f8a,Flavien Chamard,https://fbref.com/en/players/59525f8a/Flavien-Chamard,CH,2018-2019,28,Aigues-Mortes,FRA,Coupe de France,109th,1,1,120,1.3,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
59525f8a,Flavien Chamard,https://fbref.com/en/players/59525f8a/Flavien-Chamard,CH,1 Season,1 Club,,1 League,,1,1,120,1.3,,,,,,0,0,1,0,0.0,0,0,0,0,,,
3f7cb09e,Andrea Chamond,https://fbref.com/en/players/3f7cb09e/Andrea-Chamond,CH,2020-2021,22,AC Seyssinet,FRA,Coupe de France,108th,1,0,11,0.1,,,,,,,,,0,,0,0,0,0,,Matches
3f7cb09e,Andrea Chamond,https://fbref.com/en/players/3f7cb09e/Andrea-Chamond,CH,1 Season,1 Club,,1 League,,1,0,11,0.1,,,,,,,,,0,,0,0,0,0,,,
dbe59bbf,Nicolas Chapellier,https://fbref.com/en/players/dbe59bbf/Nicolas-Chapellier,CH,2017-2018,36,Sud Nivernais,FRA,Coupe de France,33rd,3,3,270,3.0,,,,0,,2,0,1,2,66.7,0,0,0,0,,Matches
dbe59bbf,Nicolas Chapellier,https://fbref.com/en/players/dbe59bbf/Nicolas-Chapellier,CH,1 Season,1 Club,,1 League,,3,3,270,3.0,,,,0,,2,0,1,2,66.7,0,0,0,0,,,
2882eb27,Yohann Chardon,https://fbref.com/en/players/2882eb27/Yohann-Chardon,CH,2021-2022,26,Lons-le-Saulnier,FRA,Coupe de France,Rd7,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
