player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals Against,Goals Against/90,Shots on Target Against,Saves,Save Percentage,Wins,Draws,Losses,Clean Sheets,Clean Sheet Percentage,Penalty Kicks Attempted,Penalty Kicks Allowed,Penalty Kicks Saved,Penalty Kicks Missed,Save% (Penalty Kicks),Matches
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,2022,26,lsLesotho,Friendlies (M),,1,1,45,0.5,,,,,,0,1,0,0,0.0,0,0,0,0,,Matches
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,5 Seasons,1 Club,3 Leagues,,1,1,45,0.5,,,,,,0,1,0,0,0.0,0,0,0,0,,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,Friendlies (M) (1 Season),,,1,1,45,0.5,,,,,,0,1,0,0,0.0,0,0,0,0,,,,
f79dc9b3,Owen Chaima,https://fbref.com/en/players/f79dc9b3/Owen-Chaima,CH,2014,24,mwMalawi,WCQ,,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
f79dc9b3,Owen Chaima,https://fbref.com/en/players/f79dc9b3/Owen-Chaima,CH,1 Season,1 Club,1 League,,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,,
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,2021,17,bdBangladesh,Friendlies (W),,2,2,180,2.0,,,,,,0,1,1,1,50.0,0,0,0,0,,Matches
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,2022,18,bdBangladesh,Friendlies (W),,2,2,170,1.9,,,,,,1,1,0,2,100.0,0,0,0,0,,Matches
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,2022,18,bdBangladesh,Asian Cup Q,,2,2,180,2.0,,,,,,0,0,2,0,0.0,2,2,0,0,0.0,Matches
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,3 Seasons,1 Club,3 Leagues,,6,6,530,5.9,,,,,,1,2,3,3,50.0,2,2,0,0,0.0,,
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,Friendlies (W) (2 Seasons),,,4,4,350,3.9,,,,,,1,2,1,3,75.0,0,0,0,0,,,,
df0fd09e,Rupna Chakma,https://fbref.com/en/players/df0fd09e/Rupna-Chakma,CH,Asian Cup Q (1 Season),,,2,2,180,2.0,,,,,,0,0,2,0,0.0,2,2,0,0,0.0,,,
54d5d923,Akeem Chambers,https://fbref.com/en/players/54d5d923/Akeem-Chambers,CH,2020,21,jmJamaica,Friendlies (M),,1,1,45,0.5,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
54d5d923,Akeem Chambers,https://fbref.com/en/players/54d5d923/Akeem-Chambers,CH,2 Seasons,1 Club,2 Leagues,,1,1,45,0.5,,,,,,1,0,0,1,100.0,0,0,0,0,,,
54d5d923,Akeem Chambers,https://fbref.com/en/players/54d5d923/Akeem-Chambers,CH,Friendlies (M) (1 Season),,,1,1,45,0.5,,,,,,1,0,0,1,100.0,0,0,0,0,,,,
fc825d77,Sergio Chamorro,https://fbref.com/en/players/fc825d77/Sergio-Chamorro,CH,2006,34,niNicaragua,WCQ,,2,2,180,2.0,,,,,,0,1,1,0,0.0,0,0,0,0,,Matches
fc825d77,Sergio Chamorro,https://fbref.com/en/players/fc825d77/Sergio-Chamorro,CH,1 Season,1 Club,1 League,,2,2,180,2.0,,,,,,0,1,1,0,0.0,0,0,0,0,,,
a775467e,Domingos Chan,https://fbref.com/en/players/a775467e/Domingos-Chan,CH,2006,35,moMacau,WCQ,,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,Matches
a775467e,Domingos Chan,https://fbref.com/en/players/a775467e/Domingos-Chan,CH,1 Season,1 Club,1 League,,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,,
6e3809d1,Jadiel Chance,https://fbref.com/en/players/6e3809d1/Jadiel-Chance,CH,2022,22,vcSt. Vincent,WCQ,,2,2,180,2.0,,,,,,0,0,2,0,0.0,2,2,0,0,0.0,Matches
6e3809d1,Jadiel Chance,https://fbref.com/en/players/6e3809d1/Jadiel-Chance,CH,2 Seasons,1 Club,1 League,,2,2,180,2.0,,,,,,0,0,2,0,0.0,2,2,0,0,0.0,,
a5c1bb82,Oum Chandara,https://fbref.com/en/players/a5c1bb82/Oum-Chandara,CH,2010,26,khCambodia,WCQ,,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,Matches
a5c1bb82,Oum Chandara,https://fbref.com/en/players/a5c1bb82/Oum-Chandara,CH,1 Season,1 Club,1 League,,2,2,180,2.0,,,,,,0,0,2,0,0.0,0,0,0,0,,,
238ecdc4,Lee Chang-myung,https://fbref.com/en/players/238ecdc4/Lee-Chang-myung,CH,1966,19,kpKorea DPR,1. World Cup,QF,4,4,360,4.0,,,,,,1,1,2,,,,,,,,Matches
238ecdc4,Lee Chang-myung,https://fbref.com/en/players/238ecdc4/Lee-Chang-myung,CH,1 Season,1 Club,1 League,,4,4,360,4.0,,,,,,1,1,2,,,,,,,,,
4b5c7b69,O Chang-Ran,https://fbref.com/en/players/4b5c7b69/O-Chang-Ran,CH,2012,19,kpKorea DPR,1. Olympics (W),GS,1,1,90,1.0,1,1.00,,,,0,0,1,0,0.0,0,0,0,0,,Matches
4b5c7b69,O Chang-Ran,https://fbref.com/en/players/4b5c7b69/O-Chang-Ran,CH,1 Season,1 Club,1 League,,1,1,90,1.0,1,1.00,,,,0,0,1,0,0.0,0,0,0,0,,,
61620cd5,Viktor Chanov,https://fbref.com/en/players/61620cd5/Viktor-Chanov,CH,1986,26,suSoviet Union,1. World Cup,R16,1,1,90,1.0,,,,,,1,0,0,,,,,,,,Matches
61620cd5,Viktor Chanov,https://fbref.com/en/players/61620cd5/Viktor-Chanov,CH,3 Seasons,1 Club,1 League,,1,1,90,1.0,,,,,,1,0,0,,,,,,,,,
4da50df8,Faouzi Chaouchi,https://fbref.com/en/players/4da50df8/Faouzi-Chaouchi,CH,2010,25,dzAlgeria,1. World Cup,GR,1,1,90,1.0,,,,,,0,0,1,0,0.0,0,0,0,0,,Matches
4da50df8,Faouzi Chaouchi,https://fbref.com/en/players/4da50df8/Faouzi-Chaouchi,CH,2010,25,dzAlgeria,Africa Cup of Nations,4th,5,5,476,5.3,,,,,,2,1,2,2,40.0,1,1,0,0,0.0,Matches
4da50df8,Faouzi Chaouchi,https://fbref.com/en/players/4da50df8/Faouzi-Chaouchi,CH,2018,33,dzAlgeria,WCQ,,1,1,90,1.0,,,,,,1,0,0,1,100.0,0,0,0,0,,Matches
4da50df8,Faouzi Chaouchi,https://fbref.com/en/players/4da50df8/Faouzi-Chaouchi,CH,2018,33,dzAlgeria,Friendlies (M),,3,3,270,3.0,,,,,,1,0,2,0,0.0,0,0,0,0,,Matches
