player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,90s Played,Yellow Cards,Red Cards,Second Yellow Card,Fouls Committed,Fouls Drawn,Offsides,Crosses,Interceptions,Tackles Won,Penalty Kicks Won,Penalty Kicks Conceded,Own Goals,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2022,16,Everton,2. Sudamericana,GR,0.6,0,0,0,0,1,0,0,0,0,,,0,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2 Seasons,1 Club,1 League,,0.6,0,0,0,0,1,0,0,0,0,,,0,,
a328fd82,Kyriakos Chailis,https://fbref.com/en/players/a328fd82/Kyriakos-Chailis,CH,2002-2003,,Anorthosis,2. UEFA Cup,Rd2,0.2,1,0,0,,,,,,,,,0,Matches
a328fd82,Kyriakos Chailis,https://fbref.com/en/players/a328fd82/Kyriakos-Chailis,CH,1 Season,1 Club,1 League,,0.2,1,0,0,,,,,,,,,0,,
79f5ba3b,Brayan Chajón,https://fbref.com/en/players/79f5ba3b/Brayan-Chajon,CH,2022,,Comunicaciones,1. CCL,QF,0.0,0,0,0,0,0,0,0,0,0,,,,Matches
79f5ba3b,Brayan Chajón,https://fbref.com/en/players/79f5ba3b/Brayan-Chajon,CH,1 Season,1 Club,1 League,,0.0,0,0,0,0,0,0,0,0,0,,,,,
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,1997-1998,21,Skonto FC,3. UEFA Cup,Rd1,1.8,0,0,0,,,,,,,,,0,Matches
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,1999-2000,23,Skonto FC,2. UEFA Cup,Rd1,1.9,0,0,0,,,,,,,,,0,Matches
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,2 Seasons,1 Club,1 League,,3.7,0,0,0,,,,,,,,,0,,
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,2026,25,Mount Pleasant Football Academy,1. CCC,R16,1.0,1,0,0,0,1,0,0,0,0,,,0,Matches
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,1 Season,1 Club,1 League,,1.0,1,0,0,0,1,0,0,0,0,,,0,,
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,2020,24,Llaneros,2. Sudamericana,1S,1.0,0,0,0,0,0,0,1,3,2,,,0,Matches
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,1 Season,1 Club,1 League,,1.0,0,0,0,0,0,0,1,3,2,,,0,,
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,2022-2023,24,Vaduz,3. Conf Lg,GR,1.3,0,0,0,,,,,,,,,0,Matches
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,1 Season,1 Club,1 League,,1.3,0,0,0,,,,,,,,,0,,
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1997-1998,32,FC Dinamo Tbilisi,3. UEFA Cup,Rd2,2.5,0,0,0,,,,,,,,,0,Matches
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1 Season,1 Club,1 League,,2.5,0,0,0,,,,,,,,,0,,
b0ff4414,Charalambakis,https://fbref.com/en/players/b0ff4414/Charalambakis,CH,2000-2001,,OFI Crete,2. UEFA Cup,Rd2,0.4,0,0,0,,,,,,,,,0,Matches
b0ff4414,Charalambakis,https://fbref.com/en/players/b0ff4414/Charalambakis,CH,1 Season,1 Club,1 League,,0.4,0,0,0,,,,,,,,,0,,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2013-2014,24,Apollon Limassol,2. Europa Lg,GR,1.3,0,0,,0,,,,,,,,,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2014-2015,25,Apollon Limassol,2. Europa Lg,GR,4.0,0,0,,1,,,,,,,,,Matches
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,3 Seasons,1 Club,1 League,,5.3,0,0,,1,,,,,,,,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1991-1992,22,Apollon Limassol,1. European Cup,Rd2,3.6,1,0,0,,,,,,,,,0,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1993-1994,24,Apollon Limassol,3. UEFA Cup,Rd2,4.3,0,0,,,,,,,,,,,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1994-1995,25,Apollon Limassol,3. UEFA Cup,Rd1,2.3,2,0,0,,,,,,,,,0,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,2001-2002,32,Olympiakos Nicosia,2. UEFA Cup,Rd1,1.6,0,0,0,,,,,,,,,0,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,4 Seasons,2 Clubs,2 Leagues,,12.0,3,0,0,,,,,,,,,0,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,Apollon Limassol (3 Seasons),2 Leagues,,10.3,3,0,0,,,,,,,,,0,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,Olympiakos Nicosia (1 Season),1 League,,1.6,0,0,0,,,,,,,,,0,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,UEFA Cup (3 Seasons),,,8.3,2,0,0,,,,,,,,,0,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,European Cup (1 Season),,,3.6,1,0,0,,,,,,,,,0,,,
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1991-1992,20,Anorthosis,3. UEFA Cup,Rd1,0.3,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1992-1993,21,Anorthosis,3. UEFA Cup,Rd1,1.6,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1994-1995,23,Anorthosis,3. UEFA Cup,Rd1,2.0,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1997-1998,26,Anorthosis,3. UEFA Cup,Rd1,2.0,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1998-1999,27,Anorthosis,3. UEFA Cup,Rd1,0.4,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1999-2000,28,Anorthosis,2. UEFA Cup,Rd1,1.8,1,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,2002-2003,31,APOEL FC,2. UEFA Cup,Rd2,2.6,1,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,2003-2004,32,APOEL FC,2. UEFA Cup,Rd1,1.0,0,0,0,,,,,,,,,0,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,8 Seasons,2 Clubs,1 League,,11.7,2,0,0,,,,,,,,,0,,
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,Anorthosis (6 Seasons),1 League,,8.1,1,0,0,,,,,,,,,0,,,
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,APOEL FC (2 Seasons),1 League,,3.6,1,0,0,,,,,,,,,0,,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2021-2022,19,AC Omonia,3. Conf Lg,GR,2.3,1,0,0,,,,,,,,,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2022-2023,20,AC Omonia,2. Europa Lg,GR,5.0,1,0,0,5,7,0,2,5,5,,,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2024-2025,22,AC Omonia,3. Conf Lg,KO,4.0,0,0,0,7,10,2,15,2,5,,,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,3 Seasons,1 Club,2 Leagues,,11.3,2,0,0,12,17,2,17,7,10,,,0,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,Conf Lg (2 Seasons),,,6.3,1,0,0,7,10,2,15,2,5,,,0,,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,Europa Lg (1 Season),,,5.0,1,0,0,5,7,0,2,5,5,,,0,,,
cdc182e3,Nikos Charalampous,https://fbref.com/en/players/cdc182e3/Nikos-Charalampous,CH,1992-1993,25,APOEL FC,1. Champions Lg,R32,2.0,0,0,0,,,,,,,,,0,Matches
cdc182e3,Nikos Charalampous,https://fbref.com/en/players/cdc182e3/Nikos-Charalampous,CH,1 Season,1 Club,1 League,,2.0,0,0,0,,,,,,,,,0,,
94a63062,Stylianos Charilaou,https://fbref.com/en/players/94a63062/Stylianos-Charilaou,CH,1990-1991,22,AC Omonia,3. UEFA Cup,Rd2,4.3,0,0,0,,,,,,,,,0,Matches
94a63062,Stylianos Charilaou,https://fbref.com/en/players/94a63062/Stylianos-Charilaou,CH,1 Season,1 Club,1 League,,4.3,0,0,0,,,,,,,,,0,,
57398af8,Andreas Charitou,https://fbref.com/en/players/57398af8/Andreas-Charitou,CH,1990-1991,28,AC Omonia,3. UEFA Cup,Rd2,3.3,1,0,0,,,,,,,,,0,Matches
57398af8,Andreas Charitou,https://fbref.com/en/players/57398af8/Andreas-Charitou,CH,1 Season,1 Club,1 League,,3.3,1,0,0,,,,,,,,,0,,
6db58b5c,Osé Charles,https://fbref.com/en/players/6db58b5c/Ose-Charles,CH,2021,20,Arcahaie FC,1. CCL,R16,1.8,0,0,0,2,1,0,2,1,0,,,0,Matches
6db58b5c,Osé Charles,https://fbref.com/en/players/6db58b5c/Ose-Charles,CH,1 Season,1 Club,1 League,,1.8,0,0,0,2,1,0,2,1,0,,,0,,
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,1993-1994,22,Dinamo Minsk,1. Champions Lg,R32,0.8,0,0,0,,,,,,,,,0,Matches
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,1994-1995,23,Dinamo Minsk,3. UEFA Cup,Rd1,0.5,0,0,0,,,,,,,,,0,Matches
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,1995-1996,24,Dinamo Minsk,3. UEFA Cup,Rd2,2.4,0,0,0,,,,,,,,,0,Matches
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,3 Seasons,1 Club,2 Leagues,,3.7,0,0,0,,,,,,,,,0,,
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,UEFA Cup (2 Seasons),,,2.9,0,0,0,,,,,,,,,0,,,
c741a8dd,Aleh Charnyawski,https://fbref.com/en/players/c741a8dd/Aleh-Charnyawski,CH,Champions Lg (1 Season),,,0.8,0,0,0,,,,,,,,,0,,,
c787899f,Marcos Charras,https://fbref.com/en/players/c787899f/Marcos-Charras,CH,2002-2003,19,CSKA Sofia,2. UEFA Cup,Rd1,1.0,0,0,0,,,,,,,,,0,Matches
c787899f,Marcos Charras,https://fbref.com/en/players/c787899f/Marcos-Charras,CH,1 Season,1 Club,1 League,,1.0,0,0,0,,,,,,,,,0,,
4d5c6d92,Stylianos Chasiotis,https://fbref.com/en/players/4d5c6d92/Stylianos-Chasiotis,CH,2003-2004,,Panionios,2. UEFA Cup,Rd2,0.4,0,0,0,,,,,,,,,0,Matches
4d5c6d92,Stylianos Chasiotis,https://fbref.com/en/players/4d5c6d92/Stylianos-Chasiotis,CH,1 Season,1 Club,1 League,,0.4,0,0,0,,,,,,,,,0,,
b389ca37,Pavel Chasnowski,https://fbref.com/en/players/b389ca37/Pavel-Chasnowski,CH,2009-2010,23,FK Ventspils,2. Europa Lg,GR,2.0,0,0,,0,,,,,,,,,
b389ca37,Pavel Chasnowski,https://fbref.com/en/players/b389ca37/Pavel-Chasnowski,CH,1 Season,1 Club,1 League,,2.0,0,0,,0,,,,,,,,,,
1118b8ea,Frédéric Chassot,https://fbref.com/en/players/1118b8ea/Frederic-Chassot,CH,1991-1992,22,Xamax,3. UEFA Cup,Rd3,0.5,0,0,0,,,,,,,,,0,Matches
1118b8ea,Frédéric Chassot,https://fbref.com/en/players/1118b8ea/Frederic-Chassot,CH,1992-1993,23,Xamax,3. UEFA Cup,Rd1,1.5,0,0,0,,,,,,,,,0,Matches
1118b8ea,Frédéric Chassot,https://fbref.com/en/players/1118b8ea/Frederic-Chassot,CH,1998-1999,29,Zürich,3. UEFA Cup,Rd3,5.3,2,0,0,,,,,,,,,0,Matches
1118b8ea,Frédéric Chassot,https://fbref.com/en/players/1118b8ea/Frederic-Chassot,CH,1999-2000,30,Zürich,2. UEFA Cup,Rd2,2.1,0,0,0,,,,,,,,,0,Matches
1118b8ea,Frédéric Chassot,https://fbref.com/en/players/1118b8ea/Frederic-Chassot,CH,2000-2001,31,Zürich,2. UEFA Cup,Rd1,0.2,1,0,0,,,,,,,,,0,Matches
