player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,Matches Played,Minutes,Minutes Per Match Played,Percentage of Squad Minutes Played,90s Played,Starts,Minutes Per Match Started,Complete Matches Played,Substitute Appearances,Minutes Per Substitution,Matches as Unused Sub,Points per Match,Goals Scored (on pitch),Goals Allowed (on pitch),Plus/Minus,Plus/Minus/90,On-Off,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2016,25,kpKorea DPR,Friendlies (M),,3,162,54,45.0,1.8,2,69,0,1,24,1,2.00,4,2,+2,+1.11,+1.57,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2017,26,kpKorea DPR,Friendlies (M),,3,267,89,89.0,3.0,3,89,1,0,,0,0.33,5,7,-2,-0.67,+2.05,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,2019,28,kpKorea DPR,Asian Cup qualification,,2,91,46,16.9,1.0,1,91,1,1,0,4,2.00,1,1,0,0.00,-0.60,Matches
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,3 Seasons,1 Club,2 Leagues,,8,520,65,43.3,5.8,6,83,2,2,12,5,1.37,10,10,0,0.00,-0.13,,
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,Friendlies (M) (2 Seasons),,,6,429,72,65.0,4.8,5,81,1,1,24,1,1.17,9,9,0,0.00,+0.78,,,
b0a1f541,Myong Cha-hyon,https://fbref.com/en/players/b0a1f541/Myong-Cha-hyon,CH,Asian Cup qualification (1 Season),,,2,91,46,16.9,1.0,1,91,1,1,0,4,2.00,1,1,0,0.00,-0.60,,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2002,23,sySyria,WCQ,,0,,,,,0,,0,0,,1,,,,,,,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2007,28,sySyria,Asian Cup qualification,,6,495,83,91.7,5.5,6,83,5,0,,0,1.33,7,6,+1,+0.18,-5.82,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2010,31,sySyria,WCQ,,8,578,72,64.2,6.4,8,72,1,0,,2,2.13,13,3,+10,+1.56,+0.72,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,2011,32,sySyria,Asian Cup qualification,,1,5,5,0.9,0.1,0,,0,1,4,1,3.00,0,0,0,0.00,-1.35,Matches
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,4 Seasons,1 Club,2 Leagues,,15,"1,078",72,42.8,12.0,14,77,6,1,4,4,1.87,20,9,+11,+0.92,-0.48,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,WCQ (2 Seasons),,,8,578,72,40.1,6.4,8,72,1,0,,3,2.13,13,3,+10,+1.56,+0.72,,,
098359d4,Zyad Chaabo,https://fbref.com/en/players/098359d4/Zyad-Chaabo,CH,Asian Cup qualification (2 Seasons),,,7,500,71,46.3,5.6,6,83,5,1,4,1,1.57,7,6,+1,+0.18,-1.53,,,
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,2019,23,lsLesotho,Africa Cup of Nations qualification,,0,,,,,0,,0,0,,1,,,,,,,Matches
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,2022,26,lsLesotho,Friendlies (M),,1,45,45,25.0,0.5,1,45,0,0,,1,1.00,0,1,-1,-2.00,-2.67,Matches
212ebf74,Tankiso Chaba,https://fbref.com/en/players/212ebf74/Tankiso-Chaba,CH,2023,27,lsLesotho,Africa Cup of Nations qualification,,0,,,,,0,,0,0,,6,,,,,,,Matches
