player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Penalty Kicks Made,Penalty Kicks Attempted,Matches
6c59a6b5,Chabo,https://fbref.com/en/players/6c59a6b5/Chabo,CH,2025-2026,25,Quintanar del Rey,ESP,Copa del Rey,Rd2,1.9,0,2,0,0.0,1.05,0.00,0.00,,0,0,Matches
6c59a6b5,Chabo,https://fbref.com/en/players/6c59a6b5/Chabo,CH,1 Season,1 Club,,1 League,,1.9,0,2,0,0.0,1.05,0.00,0.00,,0,0,,
f24270bd,Manuel Chaffort,https://fbref.com/en/players/f24270bd/Manuel-Chaffort,CH,2017-2018,28,CS Moulien,FRA,Coupe de France,109th,1.0,0,,,,,,,,0,0,Matches
f24270bd,Manuel Chaffort,https://fbref.com/en/players/f24270bd/Manuel-Chaffort,CH,2019-2020,30,CS Moulien,FRA,Coupe de France,109th,1.0,0,,,,,,,,0,0,Matches
f24270bd,Manuel Chaffort,https://fbref.com/en/players/f24270bd/Manuel-Chaffort,CH,2023-2024,34,CS Moulien,FRA,Coupe de France,R64,1.7,0,1,1,100.0,0.60,0.60,0.00,0.00,0,0,Matches
f24270bd,Manuel Chaffort,https://fbref.com/en/players/f24270bd/Manuel-Chaffort,CH,3 Seasons,1 Club,,1 League,,3.7,0,1,1,100.0,0.60,0.60,0.00,0.00,0,0,,
ea34baba,Karnell Chambers,https://fbref.com/en/players/ea34baba/Karnell-Chambers,CH,2019-2020,,Chippenham Town FC,ENG,FA Cup,85th,1.0,0,5,2,40.0,5.00,2.00,0.00,0.00,0,0,Matches
ea34baba,Karnell Chambers,https://fbref.com/en/players/ea34baba/Karnell-Chambers,CH,2 Seasons,2 Clubs,,1 League,,1.0,0,5,2,40.0,5.00,2.00,0.00,0.00,0,0,,
ea34baba,Karnell Chambers,https://fbref.com/en/players/ea34baba/Karnell-Chambers,CH,Chippenham Town FC (1 Season),,1 League,,1.0,0,5,2,40.0,5.00,2.00,0.00,0.00,0,0,,,
ea34baba,Karnell Chambers,https://fbref.com/en/players/ea34baba/Karnell-Chambers,CH,Stratford Town FC (1 Season),,1 League,,,,,,,,,,,,,,,
cdc2a5ea,Chamorro,https://fbref.com/en/players/cdc2a5ea/Chamorro,CH,2022-2023,25,Gimnástica Torrelavega,ESP,Copa del Rey,Rd1,0.4,1,1,1,100.0,2.50,2.50,1.00,1.00,0,0,Matches
cdc2a5ea,Chamorro,https://fbref.com/en/players/cdc2a5ea/Chamorro,CH,2 Seasons,1 Club,,1 League,,0.4,1,1,1,100.0,2.50,2.50,1.00,1.00,0,0,,
3beb7c5a,Julien Chapit,https://fbref.com/en/players/3beb7c5a/Julien-Chapit,CH,2020-2021,25,CA Pontarlier,FRA,Coupe de France,108th,1.0,0,,,,,,,,0,0,Matches
3beb7c5a,Julien Chapit,https://fbref.com/en/players/3beb7c5a/Julien-Chapit,CH,2022-2023,27,ASM Belfort,FRA,Coupe de France,R32,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,0,0,Matches
3beb7c5a,Julien Chapit,https://fbref.com/en/players/3beb7c5a/Julien-Chapit,CH,2 Seasons,2 Clubs,,1 League,,3.3,1,3,1,33.3,1.29,0.43,0.33,1.00,0,0,,
3beb7c5a,Julien Chapit,https://fbref.com/en/players/3beb7c5a/Julien-Chapit,CH,ASM Belfort (1 Season),,1 League,,2.3,1,3,1,33.3,1.29,0.43,0.33,1.00,0,0,,,
3beb7c5a,Julien Chapit,https://fbref.com/en/players/3beb7c5a/Julien-Chapit,CH,CA Pontarlier (1 Season),,1 League,,1.0,0,,,,,,,,0,0,,,
b2822f1b,Victor Charlez,https://fbref.com/en/players/b2822f1b/Victor-Charlez,CH,2021-2022,20,CD Ebro,ESP,Copa del Rey,Rd1,1.0,0,2,0,0.0,2.00,0.00,0.00,,0,0,Matches
b2822f1b,Victor Charlez,https://fbref.com/en/players/b2822f1b/Victor-Charlez,CH,2025-2026,24,CD Ebro,ESP,Copa del Rey,Rd2,2.0,1,4,1,25.0,2.00,0.50,0.00,0.00,1,1,Matches
b2822f1b,Victor Charlez,https://fbref.com/en/players/b2822f1b/Victor-Charlez,CH,2 Seasons,1 Club,,1 League,,3.0,1,6,1,16.7,2.00,0.33,0.00,0.00,1,1,,
82945ca0,Dorian Charlier,https://fbref.com/en/players/82945ca0/Dorian-Charlier,CH,2020-2021,23,AF Virois,FRA,Coupe de France,108th,1.0,0,,,,,,,,0,0,Matches
82945ca0,Dorian Charlier,https://fbref.com/en/players/82945ca0/Dorian-Charlier,CH,2022-2023,25,AF Virois,FRA,Coupe de France,R64,3.0,2,1,1,100.0,0.33,0.33,2.00,2.00,0,0,Matches
82945ca0,Dorian Charlier,https://fbref.com/en/players/82945ca0/Dorian-Charlier,CH,2 Seasons,1 Club,,1 League,,4.0,2,1,1,100.0,0.33,0.33,2.00,2.00,0,0,,
03702bd3,Alexandre Charrat,https://fbref.com/en/players/03702bd3/Alexandre-Charrat,CH,2023-2024,22,US Feurs,FRA,Coupe de France,R64,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,0,0,Matches
03702bd3,Alexandre Charrat,https://fbref.com/en/players/03702bd3/Alexandre-Charrat,CH,2024-2025,23,Perpignan Canet FC,FRA,Coupe de France,Rd7,1.0,0,,,,,,,,0,0,Matches
03702bd3,Alexandre Charrat,https://fbref.com/en/players/03702bd3/Alexandre-Charrat,CH,2 Seasons,2 Clubs,,1 League,,4.0,1,1,1,100.0,0.33,0.33,1.00,1.00,0,0,,
03702bd3,Alexandre Charrat,https://fbref.com/en/players/03702bd3/Alexandre-Charrat,CH,US Feurs (1 Season),,1 League,,3.0,1,1,1,100.0,0.33,0.33,1.00,1.00,0,0,,,
03702bd3,Alexandre Charrat,https://fbref.com/en/players/03702bd3/Alexandre-Charrat,CH,Perpignan Canet FC (1 Season),,1 League,,1.0,0,,,,,,,,0,0,,,
b07b325c,Kévin Chatelain,https://fbref.com/en/players/b07b325c/Kevin-Chatelain,CH,2022-2023,28,RC Grasse,FRA,Coupe de France,R32,2.3,0,1,0,0.0,0.43,0.00,0.00,,0,0,Matches
b07b325c,Kévin Chatelain,https://fbref.com/en/players/b07b325c/Kevin-Chatelain,CH,1 Season,1 Club,,1 League,,2.3,0,1,0,0.0,0.43,0.00,0.00,,0,0,,
2d955c77,Harrison Chatting,https://fbref.com/en/players/2d955c77/Harrison-Chatting,CH,2017-2018,26,Heybridge Swifts FC,ENG,FA Cup,85th,1.0,0,3,2,66.7,3.00,2.00,0.00,0.00,0,0,Matches
2d955c77,Harrison Chatting,https://fbref.com/en/players/2d955c77/Harrison-Chatting,CH,2020-2021,29,Canvey Island FC,ENG,FA Cup,65th,1.2,0,0,0,,0.00,0.00,,,0,0,Matches
2d955c77,Harrison Chatting,https://fbref.com/en/players/2d955c77/Harrison-Chatting,CH,2 Seasons,2 Clubs,,1 League,,2.2,0,3,2,66.7,1.35,0.90,0.00,0.00,0,0,,
2d955c77,Harrison Chatting,https://fbref.com/en/players/2d955c77/Harrison-Chatting,CH,Canvey Island FC (1 Season),,1 League,,1.2,0,0,0,,0.00,0.00,,,0,0,,,
2d955c77,Harrison Chatting,https://fbref.com/en/players/2d955c77/Harrison-Chatting,CH,Heybridge Swifts FC (1 Season),,1 League,,1.0,0,3,2,66.7,3.00,2.00,0.00,0.00,0,0,,,
3420d2bc,Steven Chavez,https://fbref.com/en/players/3420d2bc/Steven-Chavez,CH,2022,25,D'Feeters Kicks SC,USA,U.S. Open Cup,Rd2,1.3,1,1,1,100.0,0.76,0.76,1.00,1.00,0,0,Matches
3420d2bc,Steven Chavez,https://fbref.com/en/players/3420d2bc/Steven-Chavez,CH,1 Season,1 Club,,1 League,,1.3,1,1,1,100.0,0.76,0.76,1.00,1.00,0,0,,
a1c1060d,Chendo,https://fbref.com/en/players/a1c1060d/Chendo,CH,2020-2021,32,Linares Dep,ESP,Copa del Rey,33rd,0.8,2,1,1,100.0,1.20,1.20,2.00,2.00,0,0,Matches
a1c1060d,Chendo,https://fbref.com/en/players/a1c1060d/Chendo,CH,1 Season,1 Club,,1 League,,0.8,2,1,1,100.0,1.20,1.20,2.00,2.00,0,0,,
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,2019-2020,30,ASPV Strasbourg,FRA,Coupe de France,65th,2.0,0,,,,,,,,0,0,Matches
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,2020-2021,31,FCO Strasbourg Koenigshoffen 06,FRA,Coupe de France,108th,1.0,0,,,,,,,,0,0,Matches
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,2022-2023,33,FCO Strasbourg Koenigshoffen 06,FRA,Coupe de France,R32,4.3,0,2,1,50.0,0.46,0.23,0.00,0.00,0,0,Matches
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,2025-2026,36,US Raon-l'Étape,FRA,Coupe de France,R64,0.9,0,2,0,0.0,2.14,0.00,0.00,,0,0,Matches
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,4 Seasons,3 Clubs,,1 League,,8.3,0,4,1,25.0,0.76,0.19,0.00,0.00,0,0,,
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,FCO Strasbourg Koenigshoffen 06 (2 Seasons),,1 League,,5.3,0,2,1,50.0,0.46,0.23,0.00,0.00,0,0,,,
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,ASPV Strasbourg (1 Season),,1 League,,2.0,0,,,,,,,,0,0,,,
112cfb3b,Mohamed Cherief,https://fbref.com/en/players/112cfb3b/Mohamed-Cherief,CH,US Raon-l'Étape (1 Season),,1 League,,0.9,0,2,0,0.0,2.14,0.00,0.00,,0,0,,,
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,2022-2023,21,Peña Deportiva,ESP,Copa del Rey,Rd1,0.8,0,0,0,,0.00,0.00,,,0,0,Matches
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,2023-2024,22,Terrassa,ESP,Copa del Rey,Rd2,1.5,0,0,0,,0.00,0.00,,,0,0,Matches
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,2025-2026,24,Atlético Baleares,ESP,Copa del Rey,R32,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,Matches
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,3 Seasons,3 Clubs,,1 League,,5.0,0,1,0,0.0,0.20,0.00,0.00,,0,0,,
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,Atlético Baleares (1 Season),,1 League,,2.7,0,1,0,0.0,0.37,0.00,0.00,,0,0,,,
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,Terrassa (1 Season),,1 League,,1.5,0,0,0,,0.00,0.00,,,0,0,,,
aae32d4d,Jofre Cherta,https://fbref.com/en/players/aae32d4d/Jofre-Cherta,CH,Peña Deportiva (1 Season),,1 League,,0.8,0,0,0,,0.00,0.00,,,0,0,,,
7c24f010,Thomas Chesnel,https://fbref.com/en/players/7c24f010/Thomas-Chesnel,CH,2022-2023,22,AF Virois,FRA,Coupe de France,R64,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,Matches
7c24f010,Thomas Chesnel,https://fbref.com/en/players/7c24f010/Thomas-Chesnel,CH,1 Season,1 Club,,1 League,,1.6,0,1,0,0.0,0.61,0.00,0.00,,0,0,,
122b894a,Benoit Chevrier,https://fbref.com/en/players/122b894a/Benoit-Chevrier,CH,2018-2019,24,Chauvigny,FRA,Coupe de France,109th,1.0,0,,,,,,,,0,0,Matches
122b894a,Benoit Chevrier,https://fbref.com/en/players/122b894a/Benoit-Chevrier,CH,2021-2022,27,US Chauvigny,FRA,Coupe de France,R32,0.9,0,1,0,0.0,1.15,0.00,0.00,,0,0,Matches
122b894a,Benoit Chevrier,https://fbref.com/en/players/122b894a/Benoit-Chevrier,CH,2 Seasons,1 Club,,1 League,,1.9,0,1,0,0.0,1.15,0.00,0.00,,0,0,,
7608d3d0,Álvaro Chumilla,https://fbref.com/en/players/7608d3d0/Alvaro-Chumilla,CH,2021-2022,21,Atlético Mancha Real,ESP,Copa del Rey,R32,0.2,0,2,1,50.0,12.86,6.43,0.00,0.00,0,0,Matches
7608d3d0,Álvaro Chumilla,https://fbref.com/en/players/7608d3d0/Alvaro-Chumilla,CH,1 Season,1 Club,,1 League,,0.2,0,2,1,50.0,12.86,6.43,0.00,0.00,0,0,,
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,2020-2021,26,Racing Murcia,ESP,Copa del Rey,61st,0.6,0,,,,,,,,0,0,Matches
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,2022-2023,28,Guadalajara,ESP,Copa del Rey,Rd2,0.7,0,1,0,0.0,1.53,0.00,0.00,,0,0,Matches
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,2025-2026,31,CD Toledo,ESP,Copa del Rey,Rd1,0.9,0,,,,,,,,0,0,Matches
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,4 Seasons,4 Clubs,,1 League,,2.2,0,1,0,0.0,1.53,0.00,0.00,,0,0,,
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,Guadalajara (1 Season),,1 League,,0.7,0,1,0,0.0,1.53,0.00,0.00,,0,0,,,
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,Racing Murcia (1 Season),,1 League,,0.6,0,,,,,,,,0,0,,,
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,CD Toledo (1 Season),,1 League,,0.9,0,,,,,,,,0,0,,,
36ca5d6e,Chupi,https://fbref.com/en/players/36ca5d6e/Chupi,CH,Albacete (1 Season),,1 League,,,,,,,,,,,,,,,
9cbc1bf7,Bafodé Cissé,https://fbref.com/en/players/9cbc1bf7/Bafode-Cisse,CI,2019-2020,26,US Raon-l'Étape,FRA,Coupe de France,33rd,3.0,0,0,0,,0.00,0.00,,,0,0,Matches
9cbc1bf7,Bafodé Cissé,https://fbref.com/en/players/9cbc1bf7/Bafode-Cisse,CI,2022-2023,29,ES Thaon,FRA,Coupe de France,R32,4.3,0,1,0,0.0,0.23,0.00,0.00,,0,0,Matches
