player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,90s Played,Goals,Shots Total,Shots on Target,Shots on Target %,Shots Total/90,Shots on target/90,Goals/Shot,Goals/Shot on Target,Penalty Kicks Made,Penalty Kicks Attempted,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2022,16,Everton,2. Sudamericana,GR,0.6,0,1,0,0.0,1.58,0.00,0.00,,0,0,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2 Seasons,1 Club,1 League,,0.6,0,1,0,0.0,1.58,0.00,0.00,,0,0,,
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,2020,24,Llaneros,2. Sudamericana,1S,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,Matches
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,1 Season,1 Club,1 League,,1.0,0,1,0,0.0,1.00,0.00,0.00,,0,0,,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2013-2014,24,Apollon Limassol,2. Europa Lg,GR,1.3,0,,1,,,0.76,,0.00,0,0,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2014-2015,25,Apollon Limassol,2. Europa Lg,GR,4.0,0,,0,,,0.00,,,0,0,Matches
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,3 Seasons,1 Club,1 League,,5.3,0,,1,,,0.19,,0.00,0,0,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2021-2022,19,AC Omonia,3. Conf Lg,GR,2.3,0,,,,,,,,0,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2022-2023,20,AC Omonia,2. Europa Lg,GR,5.0,0,6,1,16.7,1.19,0.20,0.00,0.00,0,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,2024-2025,22,AC Omonia,3. Conf Lg,KO,4.0,0,3,2,66.7,0.74,0.50,0.00,0.00,0,0,Matches
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,3 Seasons,1 Club,2 Leagues,,11.3,0,9,3,33.3,0.99,0.33,0.00,0.00,0,0,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,Conf Lg (2 Seasons),,,6.3,0,3,2,66.7,0.74,0.50,0.00,0.00,0,0,,,
e63c5181,Charalampos Charalampous,https://fbref.com/en/players/e63c5181/Charalampos-Charalampous,CH,Europa Lg (1 Season),,,5.0,0,6,1,16.7,1.19,0.20,0.00,0.00,0,0,,,
6db58b5c,Osé Charles,https://fbref.com/en/players/6db58b5c/Ose-Charles,CH,2021,20,Arcahaie FC,1. CCL,R16,1.8,0,2,0,0.0,1.09,0.00,0.00,,0,0,Matches
