player_id,player_name,player_url,player_category,Season,Age,Squad,Country,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
62aeec4b,Amin Chaaouane,https://fbref.com/en/players/62aeec4b/Amin-Chaaouane,CH,2024-2025,21,FC Bressuire,FRA,Coupe de France,Rd7,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
62aeec4b,Amin Chaaouane,https://fbref.com/en/players/62aeec4b/Amin-Chaaouane,CH,1 Season,1 Club,,1 League,,1,0,13,0.1,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2017-2018,28,Olympique Alès,FRA,Coupe de France,109th,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2018-2019,29,Olympique Alès,FRA,Coupe de France,65th,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2019-2020,30,Olympique Alès,FRA,Coupe de France,65th,2,2,210,2.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2020-2021,31,Olympique Alès,FRA,Coupe de France,17th,4,4,359,4.0,0,1,1,0,0,0,0,0,0.00,0.25,0.25,0.00,0.25,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,2022-2023,33,US Salinière Aigues-Mortes,FRA,Coupe de France,Rd7,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,5 Seasons,2 Clubs,,1 League,,9,9,818,9.1,0,1,1,0,0,0,1,0,0.00,0.11,0.11,0.00,0.11,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,Olympique Alès (4 Seasons),,1 League,,8,8,749,8.3,0,1,1,0,0,0,1,0,0.00,0.12,0.12,0.00,0.12,,,
3650c899,Aloïs Chabassut,https://fbref.com/en/players/3650c899/Alois-Chabassut,CH,US Salinière Aigues-Mortes (1 Season),,1 League,,1,1,69,0.8,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,,
349d3af2,Clément Chabauty,https://fbref.com/en/players/349d3af2/Clement-Chabauty,CH,2022-2023,25,AMS Merpins,FRA,Coupe de France,Rd7,1,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
349d3af2,Clément Chabauty,https://fbref.com/en/players/349d3af2/Clement-Chabauty,CH,1 Season,1 Club,,1 League,,1,0,66,0.7,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
82edb8d1,Lucien Chabernaud,https://fbref.com/en/players/82edb8d1/Lucien-Chabernaud,CH,2017-2018,24,FC Fleury 91,FRA,Coupe de France,33rd,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
82edb8d1,Lucien Chabernaud,https://fbref.com/en/players/82edb8d1/Lucien-Chabernaud,CH,1 Season,1 Club,,1 League,,1,0,22,0.2,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
6c59a6b5,Chabo,https://fbref.com/en/players/6c59a6b5/Chabo,CH,2025-2026,25,Quintanar del Rey,ESP,Copa del Rey,Rd2,2,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
6c59a6b5,Chabo,https://fbref.com/en/players/6c59a6b5/Chabo,CH,1 Season,1 Club,,1 League,,2,2,171,1.9,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
97f9ecad,Florian Chabrier,https://fbref.com/en/players/97f9ecad/Florian-Chabrier,CH,2020-2021,22,AS Nord Vignoble,FRA,Coupe de France,108th,1,0,72,0.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,Matches
97f9ecad,Florian Chabrier,https://fbref.com/en/players/97f9ecad/Florian-Chabrier,CH,1 Season,1 Club,,1 League,,1,0,72,0.8,0,0,0,0,0,0,1,1,0.00,0.00,0.00,0.00,0.00,,
