player_id,player_name,player_url,player_category,Season,Age,Squad,Competition,LgRank,Matches Played,Starts,Minutes,90s Played,Goals,Assists,Goals + Assists,Non-Penalty Goals,Penalty Kicks Made,Penalty Kicks Attempted,Yellow Cards,Red Cards,Goals/90,Assists/90,Goals + Assists/90,Non-Penalty Goals/90,Non-Penalty Goals + Assists/90,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2022,16,Everton,2. Sudamericana,GR,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2025,19,Everton,2. Sudamericana,S1,0,0,,,,,,,,,,,,,,,,Matches
5be3642e,Cristóbal Chadwick,https://fbref.com/en/players/5be3642e/Cristobal-Chadwick,CH,2 Seasons,1 Club,1 League,,1,1,57,0.6,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
a328fd82,Kyriakos Chailis,https://fbref.com/en/players/a328fd82/Kyriakos-Chailis,CH,2002-2003,,Anorthosis,2. UEFA Cup,Rd2,2,0,22,0.2,0,,,0,0,,1,0,0.00,,,0.00,,Matches
a328fd82,Kyriakos Chailis,https://fbref.com/en/players/a328fd82/Kyriakos-Chailis,CH,1 Season,1 Club,1 League,,2,0,22,0.2,0,,,0,0,,1,0,0.00,,,0.00,,,
79f5ba3b,Brayan Chajón,https://fbref.com/en/players/79f5ba3b/Brayan-Chajon,CH,2022,,Comunicaciones,1. CCL,QF,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
79f5ba3b,Brayan Chajón,https://fbref.com/en/players/79f5ba3b/Brayan-Chajon,CH,1 Season,1 Club,1 League,,1,0,1,0.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,1997-1998,21,Skonto FC,3. UEFA Cup,Rd1,2,2,159,1.8,0,,,0,0,,0,0,0.00,,,0.00,,Matches
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,1999-2000,23,Skonto FC,2. UEFA Cup,Rd1,2,2,170,1.9,0,,,0,0,,0,0,0.00,,,0.00,,Matches
0f05f5cc,David Chaladze,https://fbref.com/en/players/0f05f5cc/David-Chaladze,CH,2 Seasons,1 Club,1 League,,4,4,329,3.7,0,,,0,0,,0,0,0.00,,,0.00,,,
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,2026,25,Mount Pleasant Football Academy,1. CCC,R16,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,Matches
7776f997,Tafari Chambers,https://fbref.com/en/players/7776f997/Tafari-Chambers,CH,1 Season,1 Club,1 League,,1,1,90,1.0,0,0,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,,
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,2020,24,Llaneros,2. Sudamericana,1S,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
59729cd6,Germán Chanchamire,https://fbref.com/en/players/59729cd6/German-Chanchamire,CH,1 Season,1 Club,1 League,,1,1,90,1.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,2022-2023,24,Vaduz,3. Conf Lg,GR,2,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
a09949da,Gion Chande,https://fbref.com/en/players/a09949da/Gion-Chande,CH,1 Season,1 Club,1 League,,2,1,117,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1997-1998,32,FC Dinamo Tbilisi,3. UEFA Cup,Rd2,3,2,224,2.5,0,,,0,0,,0,0,0.00,,,0.00,,Matches
5f97d1f9,Gela Chanturiya,https://fbref.com/en/players/5f97d1f9/Gela-Chanturiya,CH,1 Season,1 Club,1 League,,3,2,224,2.5,0,,,0,0,,0,0,0.00,,,0.00,,,
b0ff4414,Charalambakis,https://fbref.com/en/players/b0ff4414/Charalambakis,CH,2000-2001,,OFI Crete,2. UEFA Cup,Rd2,3,0,37,0.4,0,,,0,0,,0,0,0.00,,,0.00,,Matches
b0ff4414,Charalambakis,https://fbref.com/en/players/b0ff4414/Charalambakis,CH,1 Season,1 Club,1 League,,3,0,37,0.4,0,,,0,0,,0,0,0.00,,,0.00,,,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2013-2014,24,Apollon Limassol,2. Europa Lg,GR,2,1,119,1.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2014-2015,25,Apollon Limassol,2. Europa Lg,GR,5,4,360,4.0,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,Matches
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,2017-2018,28,Apollon Limassol,2. Europa Lg,GR,0,0,,,,,,,,,,,,,,,,Matches
d8823eb4,Angelis Charalambous,https://fbref.com/en/players/d8823eb4/Angelis-Charalambous,CH,3 Seasons,1 Club,1 League,,7,5,479,5.3,0,0,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1991-1992,22,Apollon Limassol,1. European Cup,Rd2,4,4,328,3.6,0,,,0,0,,1,0,0.00,,,0.00,,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1993-1994,24,Apollon Limassol,3. UEFA Cup,Rd2,4,4,390,4.3,0,,,,,,0,0,0.00,,,,,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,1994-1995,25,Apollon Limassol,3. UEFA Cup,Rd1,2,2,210,2.3,0,,,0,0,,2,0,0.00,,,0.00,,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,2001-2002,32,Olympiakos Nicosia,2. UEFA Cup,Rd1,2,2,148,1.6,0,,,0,0,,0,0,0.00,,,0.00,,Matches
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,4 Seasons,2 Clubs,2 Leagues,,12,12,"1,076",12.0,0,,,0,0,,3,0,0.00,,,0.00,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,Apollon Limassol (3 Seasons),2 Leagues,,10,10,928,10.3,0,,,0,0,,3,0,0.00,,,0.00,,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,Olympiakos Nicosia (1 Season),1 League,,2,2,148,1.6,0,,,0,0,,0,0,0.00,,,0.00,,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,UEFA Cup (3 Seasons),,,8,8,748,8.3,0,,,0,0,,2,0,0.00,,,0.00,,,,
97783c3b,Marios Charalambous,https://fbref.com/en/players/97783c3b/Marios-Charalambous,CH,European Cup (1 Season),,,4,4,328,3.6,0,,,0,0,,1,0,0.00,,,0.00,,,,
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1991-1992,20,Anorthosis,3. UEFA Cup,Rd1,1,0,25,0.3,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1992-1993,21,Anorthosis,3. UEFA Cup,Rd1,2,2,147,1.6,0,,,0,0,,0,0,0.00,,,0.00,,Matches
2a9daece,Zacharias Charalambous,https://fbref.com/en/players/2a9daece/Zacharias-Charalambous,CH,1994-1995,23,Anorthosis,3. UEFA Cup,Rd1,2,2,180,2.0,0,,,0,0,,0,0,0.00,,,0.00,,Matches
