player_id,season,career_season,club_id,matches_played,goals,assists,yellow_cards,red_cards
l1_championship_player_2025_1_103843,2025,2015,l1_championship_club_2025_9000005019,0,0,0,0,0
l1_championship_player_2025_1_103843,2025,2016,l1_championship_club_2025_9000005019,0,0,0,0,0
l1_championship_player_2025_1_103843,2025,2018,l1_championship_club_2024_9000000324,0,0,0,0,0
l1_championship_player_2025_1_103843,2025,2019,l1_championship_club_2024_9000000324,0,0,0,0,0
l1_championship_player_2025_1_103843,2025,2020,l1_championship_club_2024_9000000324,1,0,0,0,0
l1_championship_player_2025_1_103843,2025,2021,l1_championship_club_2024_9000000324,2,0,0,0,0
l1_championship_player_2025_1_103843,2025,2022,l1_championship_club_2025_9000000734,36,0,0,2,0
l1_championship_player_2025_1_103843,2025,2023,l1_championship_club_2025_9000000734,38,0,0,4,0
l1_championship_player_2025_1_103843,2025,2024,l1_championship_club_2025_9000000734,2,0,0,1,0
l1_championship_player_2025_1_103843,2025,2024,l1_championship_club_2025_1,2,0,0,0,0
l1_championship_player_2025_1_103843,2025,2025,l1_championship_club_2025_1,7,0,0,1,0
l1_championship_player_2025_1_89638,2025,2011,l1_championship_club_2025_9000000927,0,0,0,0,0
l1_championship_player_2025_1_89638,2025,2012,l1_championship_club_2025_9000000927,15,0,0,3,0
l1_championship_player_2025_1_89638,2025,2013,l1_championship_club_2025_9000000927,38,0,0,1,0
l1_championship_player_2025_1_89638,2025,2014,l1_championship_club_2024_9000000188,26,0,0,5,0
l1_championship_player_2025_1_89638,2025,2015,l1_championship_club_2024_9000000188,37,0,0,6,1
l1_championship_player_2025_1_89638,2025,2016,l1_championship_club_2025_9000000043,0,0,0,0,0
l1_championship_player_2025_1_89638,2025,2016,l1_championship_club_2024_9000000188,44,0,0,5,0
l1_championship_player_2025_1_89638,2025,2017,l1_championship_club_2024_9000000188,34,0,0,4,0
l1_championship_player_2025_1_89638,2025,2018,l1_championship_club_2024_9000000188,29,0,0,3,0
l1_championship_player_2025_1_89638,2025,2019,l1_championship_club_2025_10,28,0,0,0,1
l1_championship_player_2025_1_89638,2025,2020,l1_championship_club_2025_9000000449,20,0,0,0,1
l1_championship_player_2025_1_89638,2025,2021,l1_championship_club_2025_9000000449,46,0,0,4,0
l1_championship_player_2025_1_89638,2025,2022,l1_championship_club_2025_9000000215,25,0,0,2,0
l1_championship_player_2025_1_89638,2025,2022,l1_championship_club_2025_9000000449,14,0,0,1,0
l1_championship_player_2025_1_89638,2025,2023,l1_championship_club_2025_9000000215,7,0,0,0,0
l1_championship_player_2025_1_89638,2025,2023,l1_championship_club_2025_9000005019,1,0,0,0,0
l1_championship_player_2025_1_89638,2025,2024,l1_championship_club_2025_1,34,0,0,1,0
l1_championship_player_2025_1_89638,2025,2024,l1_championship_club_2025_9000000215,0,0,0,0,0
l1_championship_player_2025_1_89638,2025,2025,l1_championship_club_2025_1,36,0,0,1,0
l1_championship_player_2025_1_66951,2025,2015,l1_championship_club_2025_9000007431,1,0,0,0,0
l1_championship_player_2025_1_66951,2025,2016,l1_championship_club_2025_9000007431,4,0,0,0,0
l1_championship_player_2025_1_66951,2025,2017,l1_championship_club_2025_9000007431,7,0,0,0,0
l1_championship_player_2025_1_66951,2025,2018,l1_championship_club_2025_9000007431,7,0,0,1,1
l1_championship_player_2025_1_66951,2025,2019,l1_championship_club_2025_31,0,0,0,0,0
l1_championship_player_2025_1_66951,2025,2019,l1_championship_club_2025_9000007431,5,0,0,0,0
l1_championship_player_2025_1_66951,2025,2020,l1_championship_club_2025_9000006785,2,0,0,0,0
l1_championship_player_2025_1_66951,2025,2020,l1_championship_club_2025_9000023006,1,0,0,0,0
l1_championship_player_2025_1_66951,2025,2021,l1_championship_club_2025_9000006785,3,0,0,0,0
l1_championship_player_2025_1_66951,2025,2021,l1_championship_club_2025_9000023006,1,0,0,0,0
l1_championship_player_2025_1_66951,2025,2022,l1_championship_club_2025_9000006785,1,0,0,0,0
l1_championship_player_2025_1_66951,2025,2022,l1_championship_club_2025_9000023006,6,0,0,0,0
l1_championship_player_2025_1_66951,2025,2023,l1_championship_club_2025_9000002521,25,0,0,1,0
l1_championship_player_2025_1_66951,2025,2024,l1_championship_club_2025_9000020851,12,0,0,0,0
l1_championship_player_2025_1_66951,2025,2025,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_66951,2025,2025,l1_championship_club_2025_9000020851,5,0,0,0,0
l1_championship_player_2025_1_98694,2025,2021,l1_championship_club_2025_9000000413,0,0,0,0,0
l1_championship_player_2025_1_98694,2025,2022,l1_championship_club_2025_9000020851,7,0,0,2,0
l1_championship_player_2025_1_98694,2025,2023,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_98694,2025,2023,l1_championship_club_2025_9000020851,9,0,0,0,0
l1_championship_player_2025_1_98694,2025,2024,l1_championship_club_2025_9000020851,8,0,0,1,0
l1_championship_player_2025_1_98694,2025,2024,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_98694,2025,2025,l1_championship_club_2025_9000020851,12,0,0,1,0
l1_championship_player_2025_1_98694,2025,2025,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_84688,2025,2015,l1_championship_club_2025_9000009241,7,0,0,1,0
l1_championship_player_2025_1_84688,2025,2016,l1_championship_club_2025_9000009241,13,1,1,1,0
l1_championship_player_2025_1_84688,2025,2018,l1_championship_club_2024_74,17,3,0,4,1
l1_championship_player_2025_1_84688,2025,2018,l1_championship_club_2025_9000023005,3,0,0,0,0
l1_championship_player_2025_1_84688,2025,2019,l1_championship_club_2024_74,11,1,0,2,0
l1_championship_player_2025_1_84688,2025,2019,l1_championship_club_2025_9000023005,2,0,0,0,0
l1_championship_player_2025_1_84688,2025,2020,l1_championship_club_2025_14,40,3,1,6,0
l1_championship_player_2025_1_84688,2025,2021,l1_championship_club_2025_14,40,4,2,4,1
l1_championship_player_2025_1_84688,2025,2022,l1_championship_club_2025_9000000021,30,2,0,6,0
l1_championship_player_2025_1_84688,2025,2023,l1_championship_club_2025_9000000021,28,2,1,2,1
l1_championship_player_2025_1_84688,2025,2024,l1_championship_club_2024_9000000188,36,0,0,8,0
l1_championship_player_2025_1_84688,2025,2024,l1_championship_club_2025_9000000021,0,0,0,0,0
l1_championship_player_2025_1_84688,2025,2025,l1_championship_club_2025_1,22,1,0,6,0
l1_championship_player_2025_1_84688,2025,2025,l1_championship_club_2025_9000000021,3,0,0,0,0
l1_championship_player_2025_1_91272,2025,2017,l1_championship_club_2025_9000000540,0,0,0,0,0
l1_championship_player_2025_1_91272,2025,2018,l1_championship_club_2025_9000003512,4,1,0,0,0
l1_championship_player_2025_1_91272,2025,2018,l1_championship_club_2025_9000000540,5,0,0,2,0
l1_championship_player_2025_1_91272,2025,2018,l1_championship_club_2025_9000000157,0,0,0,0,0
l1_championship_player_2025_1_91272,2025,2019,l1_championship_club_2025_9000003512,8,0,0,2,0
l1_championship_player_2025_1_91272,2025,2019,l1_championship_club_2025_9000000157,8,0,0,1,0
l1_championship_player_2025_1_91272,2025,2020,l1_championship_club_2025_1,25,2,0,7,2
l1_championship_player_2025_1_91272,2025,2021,l1_championship_club_2025_1,24,0,0,5,1
l1_championship_player_2025_1_91272,2025,2022,l1_championship_club_2025_1,11,1,1,12,1
l1_championship_player_2025_1_91272,2025,2023,l1_championship_club_2025_1,42,2,0,9,1
l1_championship_player_2025_1_91272,2025,2024,l1_championship_club_2025_1,29,0,0,8,1
l1_championship_player_2025_1_91272,2025,2025,l1_championship_club_2025_1,32,1,1,8,0
l1_championship_player_2025_1_504316,2025,2025,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_504316,2025,2025,l1_championship_club_2025_9000020851,12,0,0,2,0
l1_championship_player_2025_1_104679,2025,2021,l1_championship_club_2025_9000000043,3,0,0,0,0
l1_championship_player_2025_1_104679,2025,2022,l1_championship_club_2025_9000000058,14,0,0,5,0
l1_championship_player_2025_1_104679,2025,2022,l1_championship_club_2025_9000000090,6,0,0,0,0
l1_championship_player_2025_1_104679,2025,2023,l1_championship_club_2025_9000000090,0,0,0,0,0
l1_championship_player_2025_1_104679,2025,2023,l1_championship_club_2025_9000008701,13,0,0,2,1
l1_championship_player_2025_1_104679,2025,2024,l1_championship_club_2025_9000000090,43,1,1,7,1
l1_championship_player_2025_1_104679,2025,2025,l1_championship_club_2025_1,16,1,0,1,1
l1_championship_player_2025_1_89782,2025,2022,l1_championship_club_2025_9000020851,2,0,0,0,0
l1_championship_player_2025_1_89782,2025,2023,l1_championship_club_2025_9000020851,2,0,0,0,0
l1_championship_player_2025_1_89782,2025,2024,l1_championship_club_2025_9000020851,0,0,0,0,0
l1_championship_player_2025_1_89782,2025,2025,l1_championship_club_2025_9000020851,1,0,0,0,0
l1_championship_player_2025_1_91113,2025,2016,l1_championship_club_2025_9000000608,0,0,0,0,0
l1_championship_player_2025_1_91113,2025,2017,l1_championship_club_2025_9000001071,1,0,0,0,0
l1_championship_player_2025_1_91113,2025,2018,l1_championship_club_2025_9000001071,18,0,0,4,0
l1_championship_player_2025_1_91113,2025,2019,l1_championship_club_2025_9000001071,18,1,1,9,0
l1_championship_player_2025_1_91113,2025,2020,l1_championship_club_2025_6,26,3,0,12,0
l1_championship_player_2025_1_91113,2025,2021,l1_championship_club_2025_6,34,1,0,11,0
l1_championship_player_2025_1_91113,2025,2022,l1_championship_club_2025_6,35,3,5,7,0
l1_championship_player_2025_1_91113,2025,2023,l1_championship_club_2025_6,40,1,4,16,0
l1_championship_player_2025_1_91113,2025,2024,l1_championship_club_2025_6,31,0,1,15,2
l1_championship_player_2025_1_91113,2025,2025,l1_championship_club_2025_1,22,0,1,7,0
l1_championship_player_2025_1_504315,2025,2025,l1_championship_club_2025_1,0,0,0,0,0
l1_championship_player_2025_1_504315,2025,2025,l1_championship_club_2025_9000020851,3,0,0,1,0
l1_championship_player_2025_1_94776,2025,2011,l1_championship_club_2025_9000001303,4,0,0,1,0
l1_championship_player_2025_1_94776,2025,2012,l1_championship_club_2025_9000001303,17,1,2,2,0
l1_championship_player_2025_1_94776,2025,2013,l1_championship_club_2025_9000001303,11,2,2,2,0
l1_championship_player_2025_1_94776,2025,2014,l1_championship_club_2025_9000001405,9,0,0,0,0
l1_championship_player_2025_1_94776,2025,2015,l1_championship_club_2025_9000000121,9,1,0,1,0
l1_championship_player_2025_1_94776,2025,2016,l1_championship_club_2025_9000000121,36,1,1,3,1
l1_championship_player_2025_1_94776,2025,2017,l1_championship_club_2025_9000000008,7,0,2,0,0
