player_id,season,total_matches_played,total_goals,total_assists,total_yellow_cards,total_red_cards
l1_championship_player_2025_1_103843,2025,88,0,0,8,0
l1_championship_player_2025_1_89638,2025,434,0,0,36,3
l1_championship_player_2025_1_66951,2025,80,0,0,2,1
l1_championship_player_2025_1_98694,2025,36,0,0,4,0
l1_championship_player_2025_1_84688,2025,252,17,5,40,3
l1_championship_player_2025_1_91272,2025,188,7,2,54,6
l1_championship_player_2025_1_504316,2025,12,0,0,2,0
l1_championship_player_2025_1_505974,2025,0,0,0,0,0
l1_championship_player_2025_1_104679,2025,95,2,1,15,3
l1_championship_player_2025_1_89782,2025,5,0,0,0,0
l1_championship_player_2025_1_91113,2025,225,9,12,81,2
l1_championship_player_2025_1_98605,2025,0,0,0,0,0
l1_championship_player_2025_1_504315,2025,3,0,0,1,0
l1_championship_player_2025_1_94776,2025,341,13,21,44,3
l1_championship_player_2025_1_17566,2025,400,17,20,61,2
l1_championship_player_2025_1_69685,2025,262,28,18,29,1
l1_championship_player_2025_1_62437,2025,248,31,11,39,2
l1_championship_player_2025_1_103700,2025,504,35,33,81,3
l1_championship_player_2025_1_101167,2025,0,0,0,0,0
l1_championship_player_2025_1_28673,2025,478,17,19,101,7
l1_championship_player_2025_1_90528,2025,0,0,0,0,0
l1_championship_player_2025_1_84358,2025,92,5,5,16,1
l1_championship_player_2025_1_506095,2025,23,0,1,7,1
l1_championship_player_2025_1_500906,2025,23,3,1,3,0
l1_championship_player_2025_1_92581,2025,20,0,0,3,1
l1_championship_player_2025_1_500758,2025,36,4,4,5,0
l1_championship_player_2025_1_105460,2025,138,4,12,16,1
l1_championship_player_2025_1_27361,2025,259,26,23,35,1
l1_championship_player_2025_1_507664,2025,0,0,0,0,0
l1_championship_player_2025_1_62575,2025,281,94,36,23,1
l1_championship_player_2025_1_103656,2025,242,92,31,19,1
l1_championship_player_2025_1_100680,2025,60,15,0,1,0
l1_championship_player_2025_1_105296,2025,294,76,36,25,0
l1_championship_player_2025_1_104050,2025,223,34,14,27,0
l1_championship_player_2025_1_99142,2025,183,0,0,21,3
l1_championship_player_2025_1_102045,2025,276,15,34,43,4
l1_championship_player_2025_1_101741,2025,353,29,32,62,6
l1_championship_player_2025_1_92851,2025,276,11,21,23,1
l1_championship_player_2025_1_93674,2025,22,1,2,3,0
l1_championship_player_2025_1_91446,2025,207,20,24,37,2
l1_championship_player_2025_1_105466,2025,237,41,52,17,0
l1_championship_player_2025_1_94779,2025,37,6,0,1,0
l1_championship_player_2025_1_36098,2025,429,120,34,63,3
l1_championship_player_2025_1_98852,2025,47,11,2,3,1
l1_championship_player_2025_2_77229,2025,57,0,0,0,0
l1_championship_player_2025_2_18307,2025,323,0,2,17,5
l1_championship_player_2025_2_103603,2025,5,0,0,0,0
l1_championship_player_2025_2_87050,2025,60,0,0,6,0
l1_championship_player_2025_2_86892,2025,147,1,2,26,2
l1_championship_player_2025_2_504336,2025,17,0,0,6,0
l1_championship_player_2025_2_89545,2025,148,5,3,22,4
l1_championship_player_2025_2_101309,2025,16,1,0,3,1
l1_championship_player_2025_2_94516,2025,250,0,11,45,2
l1_championship_player_2025_2_502542,2025,39,3,3,7,1
l1_championship_player_2025_2_104421,2025,137,1,9,4,1
l1_championship_player_2025_2_503228,2025,19,0,0,4,0
l1_championship_player_2025_2_81386,2025,167,6,4,26,2
l1_championship_player_2025_2_104726,2025,193,7,1,53,0
l1_championship_player_2025_2_100379,2025,55,1,0,5,2
l1_championship_player_2025_2_81342,2025,108,3,2,13,1
l1_championship_player_2025_2_104062,2025,87,2,2,10,3
l1_championship_player_2025_2_83680,2025,24,0,0,1,0
l1_championship_player_2025_2_86432,2025,112,10,1,14,0
l1_championship_player_2025_2_98440,2025,30,4,0,3,0
l1_championship_player_2025_2_505586,2025,20,5,0,5,0
l1_championship_player_2025_2_82393,2025,249,5,1,39,2
l1_championship_player_2025_2_105203,2025,104,6,6,12,2
l1_championship_player_2025_2_63146,2025,254,41,21,13,0
l1_championship_player_2025_2_48113,2025,302,4,5,52,2
l1_championship_player_2025_2_79828,2025,184,14,11,26,1
l1_championship_player_2025_2_504857,2025,2,0,0,0,0
l1_championship_player_2025_2_103884,2025,102,9,13,13,1
l1_championship_player_2025_2_66914,2025,165,23,9,8,0
l1_championship_player_2025_2_105418,2025,230,41,10,29,1
l1_championship_player_2025_2_87068,2025,49,14,0,4,1
l1_championship_player_2025_2_83293,2025,232,51,21,29,1
l1_championship_player_2025_2_504285,2025,14,1,0,3,0
l1_championship_player_2025_5_87318,2025,20,0,0,0,0
l1_championship_player_2025_5_18529,2025,231,0,1,13,1
l1_championship_player_2025_5_6105,2025,176,1,0,17,3
l1_championship_player_2025_5_90630,2025,0,0,0,0,0
l1_championship_player_2025_5_87310,2025,154,6,3,10,1
l1_championship_player_2025_5_93647,2025,1,0,0,1,0
l1_championship_player_2025_5_47709,2025,244,15,6,27,2
l1_championship_player_2025_5_505592,2025,0,0,0,0,0
l1_championship_player_2025_5_34992,2025,433,41,6,68,3
l1_championship_player_2025_5_66261,2025,82,5,2,8,0
l1_championship_player_2025_5_81328,2025,174,8,2,39,5
l1_championship_player_2025_5_105158,2025,244,6,3,34,2
l1_championship_player_2025_5_80322,2025,87,0,0,15,1
l1_championship_player_2025_5_98806,2025,8,1,0,0,1
l1_championship_player_2025_5_103617,2025,189,10,7,43,2
l1_championship_player_2025_5_505651,2025,0,0,0,0,0
l1_championship_player_2025_5_505593,2025,0,0,0,0,0
l1_championship_player_2025_5_80671,2025,84,5,2,12,0
l1_championship_player_2025_5_72857,2025,17,0,0,5,0
l1_championship_player_2025_5_80954,2025,159,10,4,25,1
l1_championship_player_2025_5_101486,2025,107,11,8,3,0
l1_championship_player_2025_5_104982,2025,180,20,18,10,0
l1_championship_player_2025_5_86624,2025,10,0,0,1,0
l1_championship_player_2025_5_78389,2025,207,15,7,22,2
l1_championship_player_2025_5_505650,2025,0,0,0,0,0
l1_championship_player_2025_5_29510,2025,344,29,7,32,4
l1_championship_player_2025_5_90468,2025,11,2,0,1,0
l1_championship_player_2025_5_505652,2025,0,0,0,0,0
l1_championship_player_2025_5_51620,2025,28,1,5,2,0
l1_championship_player_2025_5_86896,2025,31,4,0,4,0
l1_championship_player_2025_5_74429,2025,215,36,12,15,1
l1_championship_player_2025_5_504858,2025,6,1,0,0,0
l1_championship_player_2025_5_504886,2025,10,1,0,1,0
l1_championship_player_2025_5_94915,2025,429,130,31,36,1
l1_championship_player_2025_5_89760,2025,201,29,14,15,2
