player_id,season,championship_id,club_id,total_team_matches,total_matches_played,total_matches_started,total_minutes_played,total_goals,total_home_goals,total_away_goals,total_left_footed_goals,total_right_footed_goals,total_assists,total_attempts,total_shots_on_target,total_shots_assists,total_balls_played,total_touches_in_opposition_box,total_duels_won,total_interceptions,total_tackles_won,total_fouls_committed,total_fouls_suffered,total_yellow_cards,total_red_cards,total_man_of_the_match,total_team_goals,fl1_average_rating,ratio_balls_played_per_match,ratio_matches_started,ratio_goals_every_n_minutes,ratio_shots_on_target_per_match,ratio_touches_in_opposition_box_per_match
l1_championship_player_2025_1_103843,2025,1,l1_championship_club_2025_1,30,4,4,360,,,,,,,,,1,135,,,,,,,,,,,4.9125,33.75,0.13,,,
l1_championship_player_2025_1_103843,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_103843,2025,10,l1_championship_club_2025_1,4,3,3,270,,,,,,,,,,103,,,,,,,,,,,5.739999999999999,34.33,0.75,,,
l1_championship_player_2025_1_103843,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_89638,2025,1,l1_championship_club_2025_1,30,26,26,2340,,,,,,,,,,1110,,,,,1,13,1,,3,,5.447692307692307,42.69,0.87,,,
l1_championship_player_2025_1_89638,2025,6,l1_championship_club_2025_1,8,8,8,720,,,,,,,,,,404,,,,,1,2,,,,,5.525,50.5,1,,,
l1_championship_player_2025_1_89638,2025,10,l1_championship_club_2025_1,4,1,1,90,,,,,,,,,,39,,,,,,,,,,,5.83,39,0.25,,,
l1_championship_player_2025_1_89638,2025,15,l1_championship_club_2025_1,1,1,1,90,,,,,,,,,,,,,,,,,,,,,5.49,,1,,,
l1_championship_player_2025_1_66951,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_66951,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_66951,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_66951,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_98694,2025,1,l1_championship_club_2025_1,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_98694,2025,6,l1_championship_club_2025_1,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_98694,2025,10,l1_championship_club_2025_1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
l1_championship_player_2025_1_98694,2025,15,l1_championship_club_2025_1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
